s_Sample	h_popUID	h_SampCnt	h_SampFrac	s_ReadCntTotUsed	s_COI	c_clusterID	c_AveragedFrac	c_ReadCnt	c_RepCnt
2017-12-20-3714	pfama1.05	66	0.0756014	43577	2	0	0.842757	36738	2
2017-12-20-3714	pfama1.10	60	0.0687285	43577	2	1	0.157243	6839	2
2017-12-20-3719	pfama1.21	26	0.0297824	11380	1	0	1	11380	1
2017-12-20-3720	pfama1.01	133	0.152348	38052	1	0	1	38052	2
2017-12-20-3728	pfama1.05	66	0.0756014	40943	1	0	1	40943	2
2017-12-27-3746	pfama1.02	120	0.137457	51354	2	0	0.955829	48353	3
2017-12-27-3746	pfama1.06	66	0.0756014	51354	2	1	0.0441706	3001	3
2017-12-27-3747	pfama1.01	133	0.152348	20870	1	0	1	20870	4
2017-12-27-3758	pfama1.20	28	0.0320733	5546	1	0	1	5546	1
2017-12-27-3761	pfama1.07	64	0.0733104	102867	1	0	1	102867	4
2017-12-27-3766	pfama1.04	80	0.091638	36898	2	0	0.988764	36476	4
2017-12-27-3766	pfama1.00	145	0.166094	36898	2	1	0.0112364	422	4
2017-12-27-3777	pfama1.11	56	0.0641466	25623	4	0	0.585382	13676	2
2017-12-27-3777	pfama1.07	64	0.0733104	25623	4	1	0.213853	6385	2
2017-12-27-3777	pfama1.16	30	0.0343643	25623	4	2	0.11644	3125	2
2017-12-27-3777	pfama1.42	4	0.0045819	25623	4	3	0.0843252	2437	2
2017-12-28-3785	pfama1.00	145	0.166094	58947	2	0	0.91633	53965	2
2017-12-28-3785	pfama1.26	15	0.0171821	58947	2	1	0.0836697	4982	2
2017-12-28-3786	pfama1.03	82	0.093929	22498	4	0	0.805622	18106	2
2017-12-28-3786	pfama1.14	39	0.0446735	22498	4	1	0.12016	2704	2
2017-12-28-3786	pfama1.05	66	0.0756014	22498	4	2	0.0444059	1016	2
2017-12-28-3786	pfama1.01	133	0.152348	22498	4	3	0.0298119	672	2
2017-12-28-3787	pfama1.04	80	0.091638	46163	1	0	1	46163	2
2017-12-28-3816	pfama1.00	145	0.166094	11976	1	0	1	11976	2
2017-12-28-3818	pfama1.09	61	0.069874	27286	1	0	1	27286	2
2017-12-29-3093	pfama1.35	8	0.0091638	32334	1	0	1	32334	3
2017-12-29-3095	pfama1.07	64	0.0733104	75992	1	0	1	75992	3
2017-12-29-3096	pfama1.06	66	0.0756014	3632	3	0	0.516244	1875	1
2017-12-29-3096	pfama1.17	30	0.0343643	3632	3	1	0.45402	1649	1
2017-12-29-3096	pfama1.08	62	0.0710195	3632	3	2	0.0297357	108	1
2017-12-29-3315	pfama1.24	19	0.021764	56067	2	0	0.949636	54942	3
2017-12-29-3315	pfama1.08	62	0.0710195	56067	2	1	0.050364	1125	3
2017-12-29-3364	pfama1.21	26	0.0297824	89345	1	0	1	89345	4
2018-01-03-3164	pfama1.00	145	0.166094	34842	2	0	0.852827	29791	2
2018-01-03-3164	pfama1.12	52	0.0595647	34842	2	1	0.147173	5051	2
2018-01-04-3284	pfama1.15	31	0.0355097	41152	1	0	1	41152	2
2018-01-04-3285	pfama1.10	60	0.0687285	77860	5	0	0.639968	49355	2
2018-01-04-3285	pfama1.02	120	0.137457	77860	5	1	0.195461	15456	2
2018-01-04-3285	pfama1.15	31	0.0355097	77860	5	2	0.121031	9511	2
2018-01-04-3285	pfama1.30	13	0.0148912	77860	5	3	0.0363852	2955	2
2018-01-04-3285	pfama1.08	62	0.0710195	77860	5	4	0.00715466	583	2
2018-01-04-3523	pfama1.05	66	0.0756014	42878	1	0	1	42878	2
2018-01-04-3527	pfama1.02	120	0.137457	71882	1	0	1	71882	2
2018-01-08-3540	pfama1.09	61	0.069874	10200	1	0	1	10200	1
2018-01-08-3541	pfama1.10	60	0.0687285	24111	1	0	1	24111	2
2018-01-08-3542	pfama1.25	18	0.0206186	35658	4	0	0.859168	30568	2
2018-01-08-3542	pfama1.08	62	0.0710195	35658	4	1	0.0732992	2661	2
2018-01-08-3542	pfama1.05	66	0.0756014	35658	4	2	0.0570677	2054	2
2018-01-08-3542	pfama1.16	30	0.0343643	35658	4	3	0.0104654	375	2
2018-01-08-3546	pfama1.09	61	0.069874	65099	2	0	0.707463	46024	2
2018-01-08-3546	pfama1.06	66	0.0756014	65099	2	1	0.292537	19075	2
2018-01-09-3575	pfama1.00	145	0.166094	16567	1	0	1	16567	1
2018-01-09-3578	pfama1.22	24	0.0274914	54936	5	0	0.357409	19245	2
2018-01-09-3578	pfama1.11	56	0.0641466	54936	5	1	0.249376	14425	2
2018-01-09-3578	pfama1.31	13	0.0148912	54936	5	2	0.174122	9719	2
2018-01-09-3578	pfama1.04	80	0.091638	54936	5	3	0.137675	7263	2
2018-01-09-3578	pfama1.03	82	0.093929	54936	5	4	0.0814182	4284	2
2018-01-09-3579	pfama1.34	9	0.0103093	38388	1	0	1	38388	2
2018-01-09-3602	pfama1.20	28	0.0320733	26881	6	0	0.416926	11104	2
2018-01-09-3602	pfama1.00	145	0.166094	26881	6	1	0.266164	7415	2
2018-01-09-3602	pfama1.03	82	0.093929	26881	6	2	0.116688	2844	2
2018-01-09-3602	pfama1.22	24	0.0274914	26881	6	3	0.113798	3017	2
2018-01-09-3602	pfama1.02	120	0.137457	26881	6	4	0.0498734	1291	2
2018-01-09-3602	pfama1.07	64	0.0733104	26881	6	5	0.0365507	1210	2
2018-01-09-3604	pfama1.20	28	0.0320733	83767	8	0	0.526839	44166	2
2018-01-09-3604	pfama1.12	52	0.0595647	83767	8	1	0.216218	18263	2
2018-01-09-3604	pfama1.09	61	0.069874	83767	8	2	0.12176	10023	2
2018-01-09-3604	pfama1.05	66	0.0756014	83767	8	3	0.0826105	6889	2
2018-01-09-3604	pfama1.04	80	0.091638	83767	8	4	0.0166654	1387	2
2018-01-09-3604	pfama1.14	39	0.0446735	83767	8	5	0.0157402	1337	2
2018-01-09-3604	pfama1.37	7	0.00801833	83767	8	6	0.0125847	1080	2
2018-01-09-3604	pfama1.10	60	0.0687285	83767	8	7	0.00758154	622	2
2018-01-09-3614	pfama1.02	120	0.137457	44948	1	0	1	44948	2
2018-01-09-3615	pfama1.03	82	0.093929	20646	1	0	1	20646	1
2018-01-09-3616	pfama1.02	120	0.137457	53113	1	0	1	53113	2
2018-01-10-3630	pfama1.14	39	0.0446735	52591	1	0	1	52591	2
2018-01-10-3635	pfama1.07	64	0.0733104	36160	1	0	1	36160	2
2018-01-15-3122	pfama1.01	133	0.152348	27840	1	0	1	27840	2
2018-01-15-3148	pfama1.01	133	0.152348	9196	1	0	1	9196	1
2018-01-15-3154	pfama1.00	145	0.166094	43327	1	0	1	43327	2
2018-01-15-3190	pfama1.01	133	0.152348	41718	1	0	1	41718	2
2018-01-15-3658	pfama1.01	133	0.152348	39866	1	0	1	39866	2
2018-01-15-3659	pfama1.11	56	0.0641466	40906	1	0	1	40906	2
2018-01-15-3665	pfama1.02	120	0.137457	40778	1	0	1	40778	2
2018-01-15-3825	pfama1.00	145	0.166094	40353	1	0	1	40353	2
2018-01-16-3672	pfama1.11	56	0.0641466	34265	1	0	1	34265	2
2018-01-16-3677	pfama1.24	19	0.021764	36172	4	0	0.421623	14565	4
2018-01-16-3677	pfama1.09	61	0.069874	36172	4	1	0.402787	15224	4
2018-01-16-3677	pfama1.01	133	0.152348	36172	4	2	0.10927	4194	4
2018-01-16-3677	pfama1.02	120	0.137457	36172	4	3	0.0663198	2189	4
2018-01-16-3685	pfama1.18	30	0.0343643	58086	2	0	0.867122	50378	2
2018-01-16-3685	pfama1.29	15	0.0171821	58086	2	1	0.132878	7708	2
2018-01-17-3202	pfama1.17	30	0.0343643	12134	1	0	1	12134	2
2018-01-17-3205	pfama1.23	22	0.0252005	36179	3	0	0.862948	30846	2
2018-01-17-3205	pfama1.28	15	0.0171821	36179	3	1	0.102568	4084	2
2018-01-17-3205	pfama1.00	145	0.166094	36179	3	2	0.0344839	1249	2
2018-01-17-3709	pfama1.13	47	0.0538373	77774	1	0	1	77774	2
2018-01-17-3713	pfama1.19	28	0.0320733	47597	1	0	1	47597	2
2018-01-17-3714	pfama1.05	66	0.0756014	45004	2	0	0.686877	31021	2
2018-01-17-3714	pfama1.10	60	0.0687285	45004	2	1	0.313123	13983	2
2018-01-17-3728	pfama1.05	66	0.0756014	48337	1	0	1	48337	2
2018-01-22-3746	pfama1.06	66	0.0756014	32263	2	0	0.576062	19081	2
2018-01-22-3746	pfama1.02	120	0.137457	32263	2	1	0.423938	13182	2
2018-01-22-3747	pfama1.01	133	0.152348	51595	1	0	1	51595	2
2018-01-22-3761	pfama1.07	64	0.0733104	73961	1	0	1	73961	2
2018-01-22-3762	pfama1.14	39	0.0446735	70931	1	0	1	70931	2
2018-01-22-3766	pfama1.04	80	0.091638	30982	2	0	0.605284	18715	2
2018-01-22-3766	pfama1.00	145	0.166094	30982	2	1	0.394716	12267	2
2018-01-22-3777	pfama1.16	30	0.0343643	57491	2	0	0.921447	52677	2
2018-01-22-3777	pfama1.07	64	0.0733104	57491	2	1	0.0785529	4814	2
2018-01-23-3805	pfama1.01	133	0.152348	115042	1	0	1	115042	3
2018-01-23-3815	pfama1.00	145	0.166094	41580	1	0	1	41580	2
2018-01-23-3816	pfama1.00	145	0.166094	32872	1	0	1	32872	2
2018-01-23-3818	pfama1.09	61	0.069874	36779	1	0	1	36779	2
2018-01-24-3079	pfama1.11	56	0.0641466	39867	1	0	1	39867	2
2018-01-24-3095	pfama1.07	64	0.0733104	41879	1	0	1	41879	2
2018-01-24-3096	pfama1.12	52	0.0595647	44275	4	0	0.81801	36106	2
2018-01-24-3096	pfama1.08	62	0.0710195	44275	4	1	0.137301	6241	2
2018-01-24-3096	pfama1.17	30	0.0343643	44275	4	2	0.0352267	1500	2
2018-01-24-3096	pfama1.13	47	0.0538373	44275	4	3	0.00946236	428	2
2018-01-24-3315	pfama1.14	39	0.0446735	37515	4	0	0.869817	32612	2
2018-01-24-3315	pfama1.24	19	0.021764	37515	4	1	0.0883459	3187	2
2018-01-24-3315	pfama1.13	47	0.0538373	37515	4	2	0.0238501	1037	2
2018-01-24-3315	pfama1.08	62	0.0710195	37515	4	3	0.0179875	679	2
2018-01-24-3364	pfama1.21	26	0.0297824	43556	1	0	1	43556	2
2018-01-24-3505	pfama1.36	8	0.0091638	55653	1	0	1	55653	2
2018-01-24-3510	pfama1.27	15	0.0171821	55114	1	0	1	55114	2
2018-01-24-3785	pfama1.26	15	0.0171821	54965	1	0	1	54965	2
2018-01-24-3786	pfama1.05	66	0.0756014	44049	4	0	0.899335	39578	2
2018-01-24-3786	pfama1.03	82	0.093929	44049	4	1	0.0778258	3450	2
2018-01-24-3786	pfama1.04	80	0.091638	44049	4	2	0.0140252	626	2
2018-01-24-3786	pfama1.01	133	0.152348	44049	4	3	0.00881392	395	2
2018-01-24-3787	pfama1.04	80	0.091638	39239	1	0	1	39239	2
2018-01-26-3154	pfama1.00	145	0.166094	98566	1	0	1	98566	2
2018-01-29-3164	pfama1.12	52	0.0595647	40661	2	0	0.676137	27503	2
2018-01-29-3164	pfama1.00	145	0.166094	40661	2	1	0.323863	13158	2
2018-01-29-3521	pfama1.00	145	0.166094	62162	1	0	1	62162	2
2018-01-30-3285	pfama1.01	133	0.152348	48201	4	0	0.366795	18656	2
2018-01-30-3285	pfama1.15	31	0.0355097	48201	4	1	0.273103	13127	2
2018-01-30-3285	pfama1.08	62	0.0710195	48201	4	2	0.208959	8959	2
2018-01-30-3285	pfama1.30	13	0.0148912	48201	4	3	0.151143	7459	2
2018-01-30-3523	pfama1.05	66	0.0756014	45632	1	0	1	45632	2
2018-01-30-3525	pfama1.16	30	0.0343643	60223	1	0	1	60223	2
2018-01-30-3527	pfama1.02	120	0.137457	33192	1	0	1	33192	1
2018-01-30-3677	pfama1.01	133	0.152348	59500	4	0	0.560092	32816	4
2018-01-30-3677	pfama1.24	19	0.021764	59500	4	1	0.272482	16767	4
2018-01-30-3677	pfama1.02	120	0.137457	59500	4	2	0.0958693	5940	4
2018-01-30-3677	pfama1.09	61	0.069874	59500	4	3	0.0715562	3977	4
2018-02-05-3540	pfama1.08	62	0.0710195	39810	1	0	1	39810	2
2018-02-05-3541	pfama1.10	60	0.0687285	81127	1	0	1	81127	2
2018-02-05-3542	pfama1.01	133	0.152348	49684	4	0	0.91362	45400	2
2018-02-05-3542	pfama1.25	18	0.0206186	49684	4	1	0.049615	2459	2
2018-02-05-3542	pfama1.05	66	0.0756014	49684	4	2	0.0222597	1102	2
2018-02-05-3542	pfama1.08	62	0.0710195	49684	4	3	0.0145057	723	2
2018-02-06-3546	pfama1.09	61	0.069874	35123	1	0	1	35123	1
2018-02-06-3577	pfama1.00	145	0.166094	27229	1	0	1	27229	1
2018-02-06-3578	pfama1.22	24	0.0274914	37159	10	0	0.211965	7883	2
2018-02-06-3578	pfama1.06	66	0.0756014	37159	10	1	0.148863	5552	2
2018-02-06-3578	pfama1.12	52	0.0595647	37159	10	2	0.129172	4806	2
2018-02-06-3578	pfama1.00	145	0.166094	37159	10	3	0.111228	4083	2
2018-02-06-3578	pfama1.19	28	0.0320733	37159	10	4	0.111208	4150	2
2018-02-06-3578	pfama1.10	60	0.0687285	37159	10	5	0.0943935	3531	2
2018-02-06-3578	pfama1.07	64	0.0733104	37159	10	6	0.0651291	2429	2
2018-02-06-3578	pfama1.11	56	0.0641466	37159	10	7	0.0486865	1783	2
2018-02-06-3578	pfama1.04	80	0.091638	37159	10	8	0.0411177	1520	2
2018-02-06-3578	pfama1.09	61	0.069874	37159	10	9	0.0382363	1422	2
2018-02-06-3579	pfama1.34	9	0.0103093	80393	1	0	1	80393	2
2018-02-06-3602	pfama1.06	66	0.0756014	34864	8	0	0.277679	9662	2
2018-02-06-3602	pfama1.02	120	0.137457	34864	8	1	0.258757	9098	2
2018-02-06-3602	pfama1.22	24	0.0274914	34864	8	2	0.161148	5613	2
2018-02-06-3602	pfama1.00	145	0.166094	34864	8	3	0.145625	5057	2
2018-02-06-3602	pfama1.03	82	0.093929	34864	8	4	0.085802	2924	2
2018-02-06-3602	pfama1.07	64	0.0733104	34864	8	5	0.0354492	1252	2
2018-02-06-3602	pfama1.15	31	0.0355097	34864	8	6	0.0227823	817	2
2018-02-06-3602	pfama1.20	28	0.0320733	34864	8	7	0.0127568	441	2
2018-02-06-3614	pfama1.02	120	0.137457	65019	2	0	0.749572	48955	2
2018-02-06-3614	pfama1.39	5	0.00572738	65019	2	1	0.250428	16064	2
2018-02-06-3616	pfama1.02	120	0.137457	40541	1	0	1	40541	2
2018-02-06-3617	pfama1.04	80	0.091638	85886	16	0	0.178781	15304	2
2018-02-06-3617	pfama1.14	39	0.0446735	85886	16	1	0.135023	11575	2
2018-02-06-3617	pfama1.13	47	0.0538373	85886	16	2	0.131593	11275	2
2018-02-06-3617	pfama1.02	120	0.137457	85886	16	3	0.127336	10939	2
2018-02-06-3617	pfama1.00	145	0.166094	85886	16	4	0.104213	8954	2
2018-02-06-3617	pfama1.20	28	0.0320733	85886	16	5	0.0571157	4934	2
2018-02-06-3617	pfama1.41	4	0.0045819	85886	16	6	0.0489396	4185	2
2018-02-06-3617	pfama1.01	133	0.152348	85886	16	7	0.0445749	3843	2
2018-02-06-3617	pfama1.08	62	0.0710195	85886	16	8	0.0418596	3577	2
2018-02-06-3617	pfama1.12	52	0.0595647	85886	16	9	0.0266135	2341	2
2018-02-06-3617	pfama1.09	61	0.069874	85886	16	10	0.0234899	2039	2
2018-02-06-3617	pfama1.06	66	0.0756014	85886	16	11	0.0232064	1993	2
2018-02-06-3617	pfama1.33	11	0.0126002	85886	16	12	0.0197238	1683	2
2018-02-06-3617	pfama1.37	7	0.00801833	85886	16	13	0.0163114	1410	2
2018-02-06-3617	pfama1.05	66	0.0756014	85886	16	14	0.0143672	1255	2
2018-02-06-3617	pfama1.11	56	0.0641466	85886	16	15	0.00685317	579	2
2018-02-07-3630	pfama1.14	39	0.0446735	37014	1	0	1	37014	2
2018-02-07-3635	pfama1.07	64	0.0733104	97652	1	0	1	97652	2
2018-02-07-3642	pfama1.02	120	0.137457	45324	1	0	1	45324	2
2018-02-12-3122	pfama1.01	133	0.152348	64109	1	0	1	64109	2
2018-02-12-3154	pfama1.00	145	0.166094	44742	1	0	1	44742	2
2018-02-12-3190	pfama1.01	133	0.152348	65059	1	0	1	65059	2
2018-02-12-3202	pfama1.23	22	0.0252005	38899	1	0	1	38899	2
2018-02-12-3205	pfama1.23	22	0.0252005	36060	3	0	0.83763	30358	2
2018-02-12-3205	pfama1.28	15	0.0171821	36060	3	1	0.125861	4408	2
2018-02-12-3205	pfama1.00	145	0.166094	36060	3	2	0.0365092	1294	2
2018-02-12-3659	pfama1.32	11	0.0126002	48657	3	0	0.973746	47395	2
2018-02-12-3659	pfama1.18	30	0.0343643	48657	3	1	0.0187779	876	2
2018-02-12-3659	pfama1.11	56	0.0641466	48657	3	2	0.00747598	386	2
2018-02-12-3665	pfama1.02	120	0.137457	57807	1	0	1	57807	2
2018-02-13-3672	pfama1.04	80	0.091638	62195	2	0	0.849433	51371	2
2018-02-13-3672	pfama1.25	18	0.0206186	62195	2	1	0.150567	10824	2
2018-02-13-3677	pfama1.24	19	0.021764	29026	1	0	1	29026	2
2018-02-13-3685	pfama1.18	30	0.0343643	39897	2	0	0.769683	30680	2
2018-02-13-3685	pfama1.29	15	0.0171821	39897	2	1	0.230317	9217	2
2018-02-14-3708	pfama1.03	82	0.093929	98780	1	0	1	98780	2
2018-02-14-3709	pfama1.13	47	0.0538373	56051	1	0	1	56051	2
2018-02-14-3713	pfama1.19	28	0.0320733	71612	1	0	1	71612	2
2018-02-14-3714	pfama1.10	60	0.0687285	35558	1	0	1	35558	2
2018-02-14-3728	pfama1.05	66	0.0756014	55947	1	0	1	55947	3
2018-02-19-3746	pfama1.02	120	0.137457	43387	1	0	1	43387	2
2018-02-19-3747	pfama1.01	133	0.152348	36368	1	0	1	36368	2
2018-02-19-3761	pfama1.07	64	0.0733104	43640	1	0	1	43640	2
2018-02-19-3762	pfama1.14	39	0.0446735	12001	1	0	1	12001	1
2018-02-19-3766	pfama1.04	80	0.091638	49217	1	0	1	49217	2
2018-02-19-3777	pfama1.16	30	0.0343643	30486	1	0	1	30486	2
2018-02-20-3785	pfama1.26	15	0.0171821	78709	1	0	1	78709	2
2018-02-20-3786	pfama1.03	82	0.093929	30755	3	0	0.425881	13060	2
2018-02-20-3786	pfama1.05	66	0.0756014	30755	3	1	0.415261	12778	2
2018-02-20-3786	pfama1.14	39	0.0446735	30755	3	2	0.158858	4917	2
2018-02-20-3787	pfama1.04	80	0.091638	39665	1	0	1	39665	2
2018-02-20-3805	pfama1.01	133	0.152348	33895	1	0	1	33895	2
2018-02-21-3079	pfama1.11	56	0.0641466	74309	1	0	1	74309	2
2018-02-21-3093	pfama1.35	8	0.0091638	64129	1	0	1	64129	2
2018-02-21-3095	pfama1.07	64	0.0733104	39744	1	0	1	39744	2
2018-02-21-3096	pfama1.08	62	0.0710195	24087	4	0	0.627283	15079	2
2018-02-21-3096	pfama1.13	47	0.0538373	24087	4	1	0.251433	6140	2
2018-02-21-3096	pfama1.06	66	0.0756014	24087	4	2	0.093842	2225	2
2018-02-21-3096	pfama1.12	52	0.0595647	24087	4	3	0.0274421	643	2
2018-02-21-3315	pfama1.24	19	0.021764	45940	4	0	0.82977	38121	2
2018-02-21-3315	pfama1.14	39	0.0446735	45940	4	1	0.0741237	3402	2
2018-02-21-3315	pfama1.13	47	0.0538373	45940	4	2	0.0725193	3334	2
2018-02-21-3315	pfama1.08	62	0.0710195	45940	4	3	0.0235867	1083	2
2018-02-21-3364	pfama1.21	26	0.0297824	54111	1	0	1	54111	2
2018-02-21-3505	pfama1.36	8	0.0091638	10675	1	0	1	10675	1
2018-02-21-3510	pfama1.27	15	0.0171821	84797	1	0	1	84797	2
2018-02-21-3816	pfama1.00	145	0.166094	42795	1	0	1	42795	2
2018-02-21-3818	pfama1.09	61	0.069874	66700	1	0	1	66700	2
2018-02-26-3164	pfama1.00	145	0.166094	51966	2	0	0.567148	29799	2
2018-02-26-3164	pfama1.12	52	0.0595647	51966	2	1	0.432852	22167	2
2018-02-27-3285	pfama1.30	13	0.0148912	67652	3	0	0.453469	30638	2
2018-02-27-3285	pfama1.10	60	0.0687285	67652	3	1	0.450041	30472	2
2018-02-27-3285	pfama1.08	62	0.0710195	67652	3	2	0.0964903	6542	2
2018-02-27-3523	pfama1.05	66	0.0756014	70873	1	0	1	70873	2
2018-02-27-3525	pfama1.16	30	0.0343643	73600	1	0	1	73600	2
2018-02-27-3527	pfama1.02	120	0.137457	11295	1	0	1	11295	1
2018-02-28-3535	pfama1.36	8	0.0091638	317	3	0	0.665615	211	1
2018-02-28-3535	pfama1.00	145	0.166094	317	3	1	0.236593	75	1
2018-02-28-3535	pfama1.02	120	0.137457	317	3	2	0.0977918	31	1
2018-03-05-3541	pfama1.10	60	0.0687285	36807	1	0	1	36807	1
2018-03-05-3542	pfama1.33	11	0.0126002	84624	5	0	0.782683	65433	4
2018-03-05-3542	pfama1.25	18	0.0206186	84624	5	1	0.170534	14885	4
2018-03-05-3542	pfama1.16	30	0.0343643	84624	5	2	0.0256632	2313	4
2018-03-05-3542	pfama1.05	66	0.0756014	84624	5	3	0.0121	1135	4
2018-03-05-3542	pfama1.08	62	0.0710195	84624	5	4	0.00901977	858	4
2018-03-06-3577	pfama1.00	145	0.166094	45475	1	0	1	45475	2
2018-03-06-3578	pfama1.06	66	0.0756014	37485	8	0	0.340787	12865	2
2018-03-06-3578	pfama1.31	13	0.0148912	37485	8	1	0.313179	11392	2
2018-03-06-3578	pfama1.11	56	0.0641466	37485	8	2	0.156274	6045	2
2018-03-06-3578	pfama1.19	28	0.0320733	37485	8	3	0.0585686	2107	2
2018-03-06-3578	pfama1.12	52	0.0595647	37485	8	4	0.0427211	1655	2
2018-03-06-3578	pfama1.10	60	0.0687285	37485	8	5	0.0409482	1590	2
2018-03-06-3578	pfama1.22	24	0.0274914	37485	8	6	0.0290289	1132	2
2018-03-06-3578	pfama1.03	82	0.093929	37485	8	7	0.0184932	699	2
2018-03-06-3595	pfama1.02	120	0.137457	71596	1	0	1	71596	2
2018-03-07-3642	pfama1.02	120	0.137457	256	1	0	1	256	1
2018-03-12-3190	pfama1.01	133	0.152348	63604	1	0	1	63604	2
2018-03-12-3202	pfama1.17	30	0.0343643	426	1	0	1	426	1
2018-03-12-3659	pfama1.11	56	0.0641466	39941	1	0	1	39941	2
2018-03-13-3685	pfama1.29	15	0.0171821	30289	1	0	1	30289	1
2018-03-14-3708	pfama1.03	82	0.093929	31632	1	0	1	31632	2
2018-03-14-3709	pfama1.13	47	0.0538373	19879	1	0	1	19879	1
2018-03-14-3714	pfama1.05	66	0.0756014	51023	1	0	1	51023	2
2018-03-14-3728	pfama1.00	145	0.166094	393	2	0	0.903308	355	1
2018-03-14-3728	pfama1.26	15	0.0171821	393	2	1	0.0966921	38	1
2018-03-19-3746	pfama1.02	120	0.137457	57928	1	0	1	57928	3
2018-03-19-3747	pfama1.01	133	0.152348	68593	1	0	1	68593	2
2018-03-19-3761	pfama1.07	64	0.0733104	37373	1	0	1	37373	2
2018-03-19-3766	pfama1.04	80	0.091638	38562	1	0	1	38562	2
2018-03-19-3777	pfama1.16	30	0.0343643	45000	2	0	0.860858	39126	4
2018-03-19-3777	pfama1.07	64	0.0733104	45000	2	1	0.139142	5874	4
2018-03-20-3786	pfama1.05	66	0.0756014	96431	2	0	0.619843	59753	2
2018-03-20-3786	pfama1.01	133	0.152348	96431	2	1	0.380157	36678	2
2018-03-20-3805	pfama1.01	133	0.152348	23565	1	0	1	23565	2
2018-03-20-3816	pfama1.00	145	0.166094	41607	1	0	1	41607	2
2018-03-20-3818	pfama1.09	61	0.069874	42258	1	0	1	42258	2
2018-03-21-3095	pfama1.07	64	0.0733104	38457	1	0	1	38457	2
2018-03-21-3096	pfama1.08	62	0.0710195	41414	4	0	0.565831	23433	2
2018-03-21-3096	pfama1.17	30	0.0343643	41414	4	1	0.410923	17018	2
2018-03-21-3096	pfama1.12	52	0.0595647	41414	4	2	0.0134688	558	2
2018-03-21-3096	pfama1.06	66	0.0756014	41414	4	3	0.00977703	405	2
2018-03-21-3313	pfama1.21	26	0.0297824	48160	1	0	1	48160	2
2018-03-21-3315	pfama1.14	39	0.0446735	29020	2	0	0.959604	27832	2
2018-03-21-3315	pfama1.08	62	0.0710195	29020	2	1	0.0403961	1188	2
2018-03-21-3364	pfama1.21	26	0.0297824	51876	1	0	1	51876	2
2018-03-21-3505	pfama1.36	8	0.0091638	60653	1	0	1	60653	2
2018-03-21-3510	pfama1.27	15	0.0171821	42596	1	0	1	42596	2
2018-03-26-3164	pfama1.12	52	0.0595647	54511	2	0	0.658797	35893	2
2018-03-26-3164	pfama1.00	145	0.166094	54511	2	1	0.341203	18618	2
2018-03-27-3285	pfama1.08	62	0.0710195	34062	5	0	0.451033	15380	2
2018-03-27-3285	pfama1.10	60	0.0687285	34062	5	1	0.271786	9246	2
2018-03-27-3285	pfama1.01	133	0.152348	34062	5	2	0.124644	4246	2
2018-03-27-3285	pfama1.15	31	0.0355097	34062	5	3	0.0987639	3355	2
2018-03-27-3285	pfama1.30	13	0.0148912	34062	5	4	0.0537736	1835	2
2018-03-27-3523	pfama1.05	66	0.0756014	64461	1	0	1	64461	2
2018-04-02-3542	pfama1.05	66	0.0756014	27950	3	0	0.984762	27518	2
2018-04-02-3542	pfama1.16	30	0.0343643	27950	3	1	0.00900853	254	2
2018-04-02-3542	pfama1.25	18	0.0206186	27950	3	2	0.00622966	178	2
2018-04-03-3602	pfama1.03	82	0.093929	57114	6	0	0.76675	43842	4
2018-04-03-3602	pfama1.22	24	0.0274914	57114	6	1	0.12491	7087	4
2018-04-03-3602	pfama1.15	31	0.0355097	57114	6	2	0.0356009	2159	4
2018-04-03-3602	pfama1.00	145	0.166094	57114	6	3	0.035084	1926	4
2018-04-03-3602	pfama1.07	64	0.0733104	57114	6	4	0.0196317	1065	4
2018-04-03-3602	pfama1.02	120	0.137457	57114	6	5	0.018024	1035	4
2018-04-03-3604	pfama1.20	28	0.0320733	66919	13	0	0.276566	18110	4
2018-04-03-3604	pfama1.05	66	0.0756014	66919	13	1	0.205941	12941	4
2018-04-03-3604	pfama1.00	145	0.166094	66919	13	2	0.155742	10684	4
2018-04-03-3604	pfama1.01	133	0.152348	66919	13	3	0.108426	7392	4
2018-04-03-3604	pfama1.11	56	0.0641466	66919	13	4	0.0868234	6015	4
2018-04-03-3604	pfama1.29	15	0.0171821	66919	13	5	0.0607961	4294	4
2018-04-03-3604	pfama1.06	66	0.0756014	66919	13	6	0.0340288	2309	4
2018-04-03-3604	pfama1.04	80	0.091638	66919	13	7	0.0187061	1375	4
2018-04-03-3604	pfama1.45	2	0.00229095	66919	13	8	0.0127732	930	4
2018-04-03-3604	pfama1.03	82	0.093929	66919	13	9	0.0126454	884	4
2018-04-03-3604	pfama1.14	39	0.0446735	66919	13	10	0.0121649	891	4
2018-04-03-3604	pfama1.33	11	0.0126002	66919	13	11	0.00892516	628	4
2018-04-03-3604	pfama1.02	120	0.137457	66919	13	12	0.00646097	466	4
2018-04-03-3614	pfama1.02	120	0.137457	37269	1	0	1	37269	2
2018-04-03-3616	pfama1.02	120	0.137457	45485	1	0	1	45485	2
2018-04-04-3546	pfama1.09	61	0.069874	69721	1	0	1	69721	2
2018-04-04-3578	pfama1.31	13	0.0148912	20978	9	0	0.252093	5309	2
2018-04-04-3578	pfama1.09	61	0.069874	20978	9	1	0.175755	3702	2
2018-04-04-3578	pfama1.18	30	0.0343643	20978	9	2	0.15894	3306	2
2018-04-04-3578	pfama1.00	145	0.166094	20978	9	3	0.117932	2471	2
