s_Sample	h_popUID	h_SampCnt	h_SampFrac	s_ReadCntTotUsed	s_COI	c_clusterID	c_AveragedFrac	c_ReadCnt	c_RepCnt
2017-10-25-3714	pfama1.05	66	0.0756014	27870	2	0	0.989686	27564	2
2017-10-25-3714	pfama1.10	60	0.0687285	27870	2	1	0.0103142	306	2
2017-10-25-3718	pfama1.06	66	0.0756014	86380	1	0	1	86380	2
2017-10-25-3719	pfama1.03	82	0.093929	65899	2	0	0.861189	57418	2
2017-10-25-3719	pfama1.21	26	0.0297824	65899	2	1	0.138811	8481	2
2017-10-25-3720	pfama1.08	62	0.0710195	97871	3	0	0.461818	45204	2
2017-10-25-3720	pfama1.21	26	0.0297824	97871	3	1	0.455035	44532	2
2017-10-25-3720	pfama1.01	133	0.152348	97871	3	2	0.0831462	8135	2
2017-10-25-3728	pfama1.05	66	0.0756014	47184	1	0	1	47184	4
2017-10-30-3746	pfama1.06	66	0.0756014	65576	2	0	0.824462	54053	2
2017-10-30-3746	pfama1.02	120	0.137457	65576	2	1	0.175538	11523	2
2017-10-30-3747	pfama1.01	133	0.152348	48144	1	0	1	48144	2
2017-10-30-3758	pfama1.20	28	0.0320733	39003	1	0	1	39003	1
2017-10-30-3761	pfama1.07	64	0.0733104	98744	1	0	1	98744	2
2017-10-30-3762	pfama1.14	39	0.0446735	13066	1	0	1	13066	1
2017-10-30-3766	pfama1.04	80	0.091638	36656	1	0	1	36656	2
2017-10-30-3773	pfama1.04	80	0.091638	82051	2	0	0.718518	58967	2
2017-10-30-3773	pfama1.14	39	0.0446735	82051	2	1	0.281482	23084	2
2017-10-30-3777	pfama1.07	64	0.0733104	37116	1	0	1	37116	2
2017-10-31-3785	pfama1.26	15	0.0171821	74543	1	0	1	74543	2
2017-10-31-3786	pfama1.04	80	0.091638	26613	4	0	0.702872	18711	2
2017-10-31-3786	pfama1.01	133	0.152348	26613	4	1	0.172549	4581	2
2017-10-31-3786	pfama1.14	39	0.0446735	26613	4	2	0.0802211	2133	2
2017-10-31-3786	pfama1.05	66	0.0756014	26613	4	3	0.0443577	1188	2
2017-10-31-3787	pfama1.04	80	0.091638	70826	1	0	1	70826	2
2017-10-31-3805	pfama1.01	133	0.152348	35350	1	0	1	35350	2
2017-10-31-3816	pfama1.00	145	0.166094	12127	1	0	1	12127	2
2017-10-31-3818	pfama1.09	61	0.069874	41407	1	0	1	41407	2
2017-11-01-3079	pfama1.11	56	0.0641466	55329	1	0	1	55329	2
2017-11-01-3093	pfama1.35	8	0.0091638	56896	1	0	1	56896	3
2017-11-01-3096	pfama1.08	62	0.0710195	86103	5	0	0.522217	45541	5
2017-11-01-3096	pfama1.17	30	0.0343643	86103	5	1	0.412174	34303	5
2017-11-01-3096	pfama1.13	47	0.0538373	86103	5	2	0.0270924	2534	5
2017-11-01-3096	pfama1.06	66	0.0756014	86103	5	3	0.0264262	2566	5
2017-11-01-3096	pfama1.12	52	0.0595647	86103	5	4	0.0120907	1159	5
2017-11-01-3313	pfama1.04	80	0.091638	9706	1	0	1	9706	2
2017-11-01-3315	pfama1.14	39	0.0446735	11142	3	0	0.976755	10883	1
2017-11-01-3315	pfama1.24	19	0.021764	11142	3	1	0.0130138	145	1
2017-11-01-3315	pfama1.13	47	0.0538373	11142	3	2	0.0102316	114	1
2017-11-01-3364	pfama1.21	26	0.0297824	68725	1	0	1	68725	2
2017-11-01-3505	pfama1.36	8	0.0091638	5211	1	0	1	5211	2
2017-11-01-3510	pfama1.27	15	0.0171821	31894	1	0	1	31894	2
